FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2,CLASE3,CLASE4,VALORNUEVO,FRESCURANUEVO
18/03/1995,FEMENINO,SOLTERO,SECUNDARIA,RENTADA,0,4000,28000,0,7,5,0,NO,534.41,480,SI,POTENCIALES,V2F2,V2,F2,V3,F2
24/03/1992,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,8000,28450,5,0,4,4,NO,909.41,0,NO,ATENCION ALTA,V3F2,V3,F2,V3,F3
16/09/1987,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,5000,28000,25,0,6,0,NO,1018.54,61.72,SI,POTENCIALES,V2F2,V2,F2,V3,F2
29/04/1969,FEMENINO,DIVORCIADO,BACHILLERATO,PROPIA,0,10000,28000,3,0,0,3,SINODATOS,1018.54,0,SI,POTENCIALES,V1F1,V1,F1,V2,F2
14/02/1977,FEMENINO,CASADO,LICENCIATURA,PROPIA,0,35000,28000,20,0,10,0,NO,1705.15,883,NO,PERDIDOS,V1F1,V1,F1,V1,F1
06/07/1992,FEMENINO,CASADO,BACHILLERATO,PADRES,0,12000,28000,10,0,7,0,SINODATOS,2756.66,0,NO,POTENCIALES,V1F1,V1,F1,V1,F1
06/05/1997,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,8000,28100,1,6,6,0,NO,909.41,0,NO,POTENCIALES,V3F2,V3,F2,V4,F3
05/04/1991,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,4000,28000,1,6,1,0,NO,945.79,0,NO,POTENCIALES,V1F2,V1,F2,V2,F2
13/07/1987,MASCULINO,UNIONLIBRE,LICENCIATURA,RENTADA,0,15000,28000,2,0,0,3,SINODATOS,663.09,0,SI,PERDIDOS,V1F1,V1,F1,V2,F2
05/10/1974,FEMENINO,CASADO,PRIMARIA,RENTADA,0,4800,28000,2,0,3,0,SINODATOS,1247.74,81.18,NO,POTENCIALES,V3F1,V3,F1,V4,F1
16/10/1980,MASCULINO,SOLTERO,SECUNDARIA,PADRES,0,8800,28000,10,0,10,0,NO,1018.54,0,NO,POTENCIALES,V1F1,V1,F1,V2,F1
